name,est_diameter_min,est_diameter_max,relative_velocity_mean,miss_distance_mean,miss_distance_min,absolute_magnitude_mean,hazardous,observations,est_diameter_range,est_diameter_mean,est_diameter_min_log1p,est_diameter_max_log1p,est_diameter_mean_log1p,est_diameter_range_log1p,relative_velocity_mean_log1p,miss_distance_mean_log1p,miss_distance_min_log1p,hazardous_enc
(1998 BY7),0.1350687798,0.3020229733,57452.38638692525,24891060.65611104,22771328.83505441,21.47,True,2,0.1669541935,0.21854587655,0.1266932480400555,0.2639191882543689,0.1976582433948966,0.1543971010344871,10.958729226481845,17.03001932735582,16.941012839279395,1
(1998 FJ74),0.4619074603,1.0328564805,69157.0997858898,61662793.50270415,61662793.50270415,18.8,False,1,0.5709490202,0.7473819704,0.3797420626758426,0.7094419372206743,0.5581186508705175,0.4516799082058972,11.144150463796423,17.937191300554957,17.937191300554957,0
(1998 FL5),0.1307841086,0.2924421572,40118.424061301805,48884586.97506913,34116780.013704576,21.54,False,2,0.1616580486,0.2116131329,0.1229112935019039,0.2565335737491141,0.1919526394156008,0.1498483368081069,10.59961588657158,17.704972730433266,17.34529993304527,0
(1998 FM9),0.3051792326,0.6824015094,19724.030745577,62526785.9329525,62526785.9329525,19.7,False,1,0.3772222768,0.493790371,0.2663403743324777,0.520222242576659,0.4013167629433501,0.3200686277798162,9.889643704423989,17.951105613815013,17.951105613815013,0
(1998 GC1),0.1756123185,0.3926810818,40746.62430463517,54573081.99002644,38473444.0725383,20.9,False,3,0.2170687633,0.28414670015,0.1617891339868008,0.3312307251546776,0.250094451194726,0.1964453147099347,10.615152817696783,17.815051333627164,17.465478822903435,0
(1998 GL10),0.4212646106,0.9419763057,27839.8299261288,23245185.93755613,23245185.93755613,19.0,False,1,0.5207116951,0.68162045815,0.3515470461353097,0.6637061688163278,0.5197578869502281,0.4191784457377155,10.234258924569,16.961608655128956,16.961608655128956,0
(1998 HH49),0.1440638367,0.3221365319,98817.7219536006,66020142.88434013,66020142.88434013,21.33,True,1,0.1780726952,0.2331001843,0.1345866927119597,0.279249012874425,0.2095314733550453,0.1638797940214633,11.501042359241838,18.00547046379228,18.00547046379228,1
(1998 KD3),0.2016299194,0.4508582062,64414.480426803,64598403.11467357,64598403.11467357,20.6,False,1,0.2492282868,0.3262440628,0.1836789013515641,0.3721552476935063,0.2823509342536603,0.222525990102533,11.073109262504154,17.98370026434046,17.98370026434046,0
(1998 KH),0.3841978911,0.8590926012,81023.19072730665,35937497.42981933,22937825.819001943,19.2,False,2,0.4748947100999999,0.6216452461499999,0.3251208318729554,0.620088519870955,0.4834412179309239,0.3885866042608459,11.30250304002166,17.397291832829858,16.948297931917423,0
(1998 LE),0.2231284644,0.4989304142,68667.83564304766,27477573.22642371,20897957.49403524,20.38,False,3,0.2758019498,0.3610294393,0.201411891581157,0.404751796561963,0.3082413540746259,0.2435749611205212,11.137050745639424,17.128880747274422,16.85516203245283,0
